Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,2.203035404215326,30.28956474230559,1.1198284283148503,60.959286112660344
2,0.5410104106356214,81.11090875978874,0.5889342180659286,81.46960401561628
3,0.21013953264950316,92.99216900382444,0.6933653932229608,81.72058003346346
4,0.1620099178508862,94.76598069568385,0.6020943813883097,84.30005577244842
5,0.12803958537434781,95.68020397013295,0.6296891475145796,83.24037925264919
6,0.11070482462583792,96.30668366417774,0.6120887866853613,85.5409927495817
7,0.09688484449143628,96.78382808231652,0.5623293958142795,84.3558282208589
8,0.09372431461401892,96.95501730103807,0.6310168868013187,85.35973229224763
9,0.08276394772992442,97.35567291932253,0.5355235745685291,87.42331288343559
10,0.0952770217248002,96.92223638681479,0.6031757308318552,83.81204684885667
